formal_label,model_id,spec_id,term,n,coef,se,pvalue,stars,coef_display,notes,built_at
D1,h2a_entropy_reactivation,k10_tau005,t2,5880,-0.0154433230949133,0.0040552845323066,0.0001399836373472,***,-0.015*** (0.004),D1 entropy K=10 tau=0.05,2026-07-05T11:16:20.452748+00:00
D1,h2a_entropy_reactivation,k10_tau010,t2,5880,-0.0104455677000987,0.0014719282348144,1.2793772717619033e-12,***,-0.010*** (0.001),main specification K=10 tau=0.10,2026-07-05T11:14:49.835017+00:00
D1,h2a_entropy_reactivation,k10_tau020,t2,5880,-0.0038612814205922,0.0004020522818094,7.695404277497472e-22,***,-0.004*** (0.000),D1 entropy K=10 tau=0.2,2026-07-05T11:16:20.452748+00:00
D1,h2a_entropy_reactivation,k12_tau005,t2,5880,3.230560138278715e-05,0.0041355991873655,0.9937673170783556,,0.000 (0.004),D1 entropy K=12 tau=0.05,2026-07-05T11:16:20.452748+00:00
D1,h2a_entropy_reactivation,k12_tau010,t2,5880,-0.0026691552190197,0.0013494080769824,0.0479265294996359,*,-0.003* (0.001),D1 entropy K=12 tau=0.1,2026-07-05T11:16:20.452748+00:00
D1,h2a_entropy_reactivation,k12_tau020,t2,5880,-0.0016718236511601,0.0003270694600846,3.195688896689921e-07,***,-0.002*** (0.000),D1 entropy K=12 tau=0.2,2026-07-05T11:16:20.452748+00:00
D1,h2a_entropy_reactivation,k8_tau005,t2,5880,-0.0147901344391176,0.0042982882961669,0.0005797058817214,***,-0.015*** (0.004),D1 entropy K=8 tau=0.05,2026-07-05T11:16:20.452748+00:00
D1,h2a_entropy_reactivation,k8_tau010,t2,5880,-0.0076730258296684,0.0015350255170584,5.773883403215399e-07,***,-0.008*** (0.002),D1 entropy K=8 tau=0.1,2026-07-05T11:16:20.452748+00:00
D1,h2a_entropy_reactivation,k8_tau020,t2,5880,-0.0026454005700253,0.000405646155839,6.963156688815747e-11,***,-0.003*** (0.000),D1 entropy K=8 tau=0.2,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k10_tau005,entropy_norm,10806,0.018297520612501,0.0920661542886853,0.8424636420897997,,0.018 (0.092),D2 entropy K=10 tau=0.05,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k10_tau005,indirect_clean,10806,0.1321865664225869,0.0293929722400879,6.8848798771295305e-06,***,0.132*** (0.029),D2 entropy K=10 tau=0.05,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k10_tau010,entropy_norm,10806,-0.0901093597649407,0.247857985032458,0.716192293774599,,-0.090 (0.248),main specification K=10 tau=0.10,2026-07-05T11:14:49.835017+00:00
D2,e2_entropy_increment,k10_tau010,indirect_clean,10806,0.1324108060310065,0.0293893826732871,6.624929145081181e-06,***,0.132*** (0.029),main specification K=10 tau=0.10,2026-07-05T11:14:49.835017+00:00
D2,e2_entropy_increment,k10_tau020,entropy_norm,10806,-0.8059559239926004,0.9710729469327404,0.4065589419405196,,-0.806 (0.971),D2 entropy K=10 tau=0.2,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k10_tau020,indirect_clean,10806,0.1325095801693727,0.0293933295939873,6.539490400580013e-06,***,0.133*** (0.029),D2 entropy K=10 tau=0.2,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k12_tau005,entropy_norm,10806,0.139598039479195,0.087384156233092,0.1101495826306372,,0.140 (0.087),D2 entropy K=12 tau=0.05,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k12_tau005,indirect_clean,10806,0.1278119515928114,0.0293730829392478,1.3531474836388606e-05,***,0.128*** (0.029),D2 entropy K=12 tau=0.05,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k12_tau010,entropy_norm,10806,0.195280227172299,0.2567521945756568,0.4469088000183042,,0.195 (0.257),D2 entropy K=12 tau=0.1,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k12_tau010,indirect_clean,10806,0.1282433169123733,0.0293641051780427,1.2576326337325424e-05,***,0.128*** (0.029),D2 entropy K=12 tau=0.1,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k12_tau020,entropy_norm,10806,-0.2230072378464336,1.1266947247466057,0.8430994492666832,,-0.223 (1.127),D2 entropy K=12 tau=0.2,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k12_tau020,indirect_clean,10806,0.1287099618424963,0.0293639464047314,1.1691369332134304e-05,***,0.129*** (0.029),D2 entropy K=12 tau=0.2,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k8_tau005,entropy_norm,10806,0.0507453611772753,0.0880557878587852,0.5644215509625643,,0.051 (0.088),D2 entropy K=8 tau=0.05,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k8_tau005,indirect_clean,10806,0.1382489172774257,0.0291149925089405,2.05057049815374e-06,***,0.138*** (0.029),D2 entropy K=8 tau=0.05,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k8_tau010,entropy_norm,10806,-0.0200062349475222,0.2485603992983189,0.935848802228565,,-0.020 (0.249),D2 entropy K=8 tau=0.1,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k8_tau010,indirect_clean,10806,0.1385664235837128,0.0291109755068673,1.9365293046583115e-06,***,0.139*** (0.029),D2 entropy K=8 tau=0.1,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k8_tau020,entropy_norm,10806,-0.3041270906315794,0.9668368224363164,0.753096617939311,,-0.304 (0.967),D2 entropy K=8 tau=0.2,2026-07-05T11:16:20.452748+00:00
D2,e2_entropy_increment,k8_tau020,indirect_clean,10806,0.1386241270429273,0.0291170962208061,1.927137029460725e-06,***,0.139*** (0.029),D2 entropy K=8 tau=0.2,2026-07-05T11:16:20.452748+00:00
