formal_label,model_id,spec_id,spec_label_zh,term,n,coef,se,pvalue,p_fmt,stars,coef_display,or_display,pct_display,notes,is_focal,built_at
H1,h1_engagement_indirect,engagement_comments,稳健性：因变量 log(评论),indirect_clean,10806,0.0704454872947723,0.0203714143842245,0.0005440887177229,<0.001,***,0.070*** (0.020),,7.3%,H1 y=log_comments,True,2026-07-05T11:16:20.452748+00:00
H1,h1_engagement_indirect,engagement_likes,稳健性：因变量 log(点赞),indirect_clean,10806,0.10184501680049,0.0253867770277086,6.027418867056597e-05,<0.001,***,0.102*** (0.025),,10.7%,H1 y=log_likes,True,2026-07-05T11:16:20.452748+00:00
H1,h1_engagement_indirect,engagement_reposts,稳健性：因变量 log(转发),indirect_clean,10806,0.0070914601328502,0.011223094193963,0.5274762763560146,0.527,,0.007 (0.011),,0.7%,H1 y=log_reposts,True,2026-07-05T11:16:20.452748+00:00
H1,h1_engagement_indirect,high_clarity,稳健性：高清晰度子样本,indirect_clean,10679,0.1447590874331082,0.0299830400374145,1.3788869361492829e-06,<0.001,***,0.145*** (0.030),,15.6%,filter high_clarity==True,True,2026-07-05T11:16:20.452748+00:00
H1,h1_engagement_indirect,peripheral_p80,稳健性：peripheral 阈值 p80,indirect_clean,10650,0.1264885022321682,0.0293075284468304,1.5895048805170598e-05,<0.001,***,0.126*** (0.029),,13.5%,peripheral = verified==0 & followers<p80 (77287); n_peripheral=10720,True,2026-07-05T11:16:20.452748+00:00
H1,h1_engagement_indirect,peripheral_p90,稳健性：peripheral 阈值 p90,indirect_clean,10806,0.1322504696495472,0.0293953181788499,6.826366440515378e-06,<0.001,***,0.132*** (0.029),,14.1%,peripheral = verified==0 & followers<p90 (679972); n_peripheral=10877,True,2026-07-05T11:16:20.452748+00:00
H1,h1_engagement_indirect,peripheral_p95,稳健性：peripheral 阈值 p95,indirect_clean,10853,0.1297090360334681,0.0296339182871167,1.2029835946538294e-05,<0.001,***,0.130*** (0.030),,13.8%,peripheral = verified==0 & followers<p95 (1967472); n_peripheral=10924,True,2026-07-05T11:16:20.452748+00:00
H1,h1_engagement_indirect,robust_no_review,稳健性：排除待复核标签,indirect_clean,10657,0.1318294574866668,0.0294405546063335,7.540970204975397e-06,<0.001,***,0.132*** (0.029),,14.1%,filter robust_no_review==True,True,2026-07-05T11:16:20.452748+00:00
H1,h1_engagement_indirect,unique_text,稳健性：unique text（每文本 1 帖）,indirect_clean,9174,0.0912337553345666,0.0298688932135182,0.0022545561609215,0.002,**,0.091** (0.030),,9.6%,one post per text_hash,True,2026-07-05T11:16:20.452748+00:00
D1,h2a_entropy_reactivation,k10_tau005,"稳健性：K=10, τ=0.05",t2,5880,-0.0154433230949133,0.0040552845323066,0.0001399836373472,<0.001,***,-0.015*** (0.004),,,H2a entropy K=10 tau=0.05,True,2026-07-05T11:16:20.452748+00:00
